URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.mastersportal.com/studies/295853/global-and-international-management.html?ref=recommendations&page=search&type=carousel&position=2&score=0.0022284,Global and International ManagementGlobal and International ManagementSwiss School Of Business and Management,N/A,,"1,215,781 NPR / year",Genève,Switzerland,1 year
https://www.mastersportal.com/studies/251762/applied-neuroscience.html?ref=recommendations&page=search&type=carousel&position=1&score=0.0023027,Applied Neuroscience (Online)King's College London,N/A,,"364,667 NPR / module",London,United Kingdom,2 years
https://www.mastersportal.com/studies/282899/sustainable-development.html?ref=recommendations&page=search&type=carousel&position=6&score=0.0016982,Sustainable Development (Online)University of Sussex Online,N/A,,"1,296,237 NPR / year",Brighton,United Kingdom,2 years
https://www.mastersportal.com/studies/34345/sustainable-cities.html?ref=recommendations&page=search&type=carousel&position=7&score=0.0022407,Sustainable CitiesAalborg University,N/A,,"2,664,297 NPR / year",Copenhagen,Denmark,2 years
https://www.mastersportal.com/studies/134522/management-in-sustainable-business.html?ref=recommendations&page=search&type=carousel&position=4&score=0.0017964,Management in Sustainable Business (Online)Häme University of Applied Sciences,N/A,,"2,032,091 NPR / year",Hämeenlinna,Finland,1½ years
https://www.mastersportal.com/studies/291983/sustainable-urban-mobility-transitions.html?ref=recommendations&page=search&type=carousel&position=3&score=0.002064,Sustainable Urban Mobility TransitionsEIT Urban Mobility Master School,Master,,"2,778,928 NPR / year",Helsinki,Finland,2 years
https://www.mastersportal.com/studies/154566/euro-mediterranean-master-of-neuroscience.html?ref=recommendations&page=search&type=carousel&position=5&score=0.0017286,Euro-Mediterranean Master of NeuroscienceUniversity of Bordeaux,Master,,"684,485 NPR / year",Bordeaux,France,2 years
https://www.mastersportal.com/studies/68117/master-of-business-administration.html?ref=recommendations&page=search&type=carousel&position=8&score=0.0021566,Master of Business AdministrationUniversity Canada West,Master,,"2,505,888 NPR / year",Vancouver,Canada,2 years
https://www.bachelorsportal.com/studies/180726/cardiovascular-technology.html?ref=search_card,Cardiovascular TechnologyCardiovascular TechnologyManipal Academy of Higher Education,N/A,Provided by university,"880,488 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/425902/undergraduate-foundation-programme-business-economics-finance-and-management.html?ref=search_card,"Undergraduate Foundation Programme - Business, Economics, Finance and ManagementUndergraduate Foundation Programme - Business, Economics, Finance and ManagementRoyal Holloway University of London",N/A,,"4,488,822 NPR / full",London,United Kingdom,9 months
