URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/450718/physiotherapy-undergraduate-foundation-programme.html?ref=search_card,Physiotherapy - Undergraduate Foundation Programme,Bachelor,"City St George's, University of London","4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/421399/education-and-psychology-undergraduate-foundation-programme.html?ref=search_card,Education and Psychology - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103305/media-and-communication.html?ref=search_card,Media and Communication,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/96901/electrical-engineering.html?ref=search_card,Electrical Engineering,Bachelor,Toronto Metropolitan University,"4,521,494 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/103485/information-systems.html?ref=search_card,Information Systems,Bachelor,University of Canterbury,"3,232,140 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/452731/law-with-business-university-of-london-international-foundation-programme.html?ref=search_card,Law with Business - University of London International Foundation Programme,Bachelor,"City St George's, University of London","4,669,125 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/320007/data-science.html?ref=search_card,Data Science,Bachelor,University of Canterbury,"3,586,721 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/356565/electronic-engineering.html?ref=search_card,Electronic Engineering (Hons),Bachelor,Bangor University,"4,142,443 NPR / year",Bangor,United Kingdom,3 years
https://www.bachelorsportal.com/studies/491738/pharmacology-undergraduate-foundation-programme.html?ref=search_card,Pharmacology - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/98135/mechanical-engineering.html?ref=search_card,Mechanical Engineering,Bachelor,The University of Maine,"1,229 USD/credit Based on the original amount of",Orono,United States,4 years
https://www.bachelorsportal.com/studies/483919/bachelor-of-business.html?ref=search_card,Bachelor of Business (Event Management Major),Bachelor,Victoria University,"3,792,569 NPR / year",Melbourne,Australia,3 years
https://www.bachelorsportal.com/studies/369305/culinary-science.html?ref=search_card,Culinary Science,Bachelor,Manipal Academy of Higher Education,"1,127,694 NPR / year",Manipal,India,3 years
https://www.bachelorsportal.com/studies/425874/law-undergraduate-foundation-programme.html?ref=search_card,Law - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452468/economics-finance-and-management-undergraduate-foundation-programme.html?ref=search_card,"Economics, Finance and Management - Undergraduate Foundation Programme",Bachelor,Queen Mary University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452586/computer-science-and-artificial-intelligence-undergraduate-foundation-programme.html?ref=search_card,Computer Science and Artificial Intelligence - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/96814/biology.html?ref=search_card,Biology (Hons),Bachelor,Toronto Metropolitan University,"3,942,933 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/303384/history-undergraduate-foundation-programme.html?ref=search_card,History - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,450,063 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/425340/sociology-and-chinese-undergraduate-foundation-programme.html?ref=search_card,Sociology and Chinese - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
